# Time-averaged data for fix 2
tstep t T P density a b c Etot Eke Epe Epair
5000 110020 134.645 98.3084 1.18248 38.2847 38.2847 38.2847 -727.912 387.051 -1114.96 -1114.96
10000 130020 138.211 99.8239 1.18743 38.2278 38.2278 38.2278 -733.188 387.104 -1120.29 -1120.29
15000 150020 121.416 100.929 1.18674 38.2351 38.2351 38.2351 -731.588 387.356 -1118.94 -1118.94
20000 170020 133.319 99.7932 1.18912 38.2095 38.2095 38.2095 -733.687 386.811 -1120.5 -1120.5
25000 190020 127.52 99.822 1.18851 38.2163 38.2163 38.2163 -734.09 386.674 -1120.76 -1120.76
30000 210020 131.856 100.06 1.1864 38.2386 38.2386 38.2386 -732.473 386.08 -1118.55 -1118.55
35000 230020 135.213 99.5724 1.18668 38.2356 38.2356 38.2356 -730.655 387.372 -1118.03 -1118.03
40000 250020 130.579 100.475 1.18442 38.2599 38.2599 38.2599 -728.853 386.978 -1115.83 -1115.83
45000 270020 137.554 99.1246 1.18721 38.2303 38.2303 38.2303 -732.575 387.132 -1119.71 -1119.71
50000 290020 126.911 100.869 1.18978 38.2028 38.2028 38.2028 -734.085 386.771 -1120.86 -1120.86
