# Time-averaged data for fix 2
tstep t T P Etot Eke Epe Epair
2500 5020 125.369 75.3868 -496.203 438.898 -935.1 -935.1
5000 15020 127.862 -68.3316 -568.624 387.217 -955.841 -955.841
7500 25020 126.88 -68.4172 -570.861 386.37 -957.231 -957.231
10000 35020 129.5 -66.1564 -569.969 386.805 -956.773 -956.773
12500 45020 130.477 -68.9956 -567.529 386.176 -953.705 -953.705
15000 55020 126.524 -68.364 -566.566 387.735 -954.301 -954.301
17500 65020 128.308 -65.9833 -570.89 386.162 -957.052 -957.052
20000 75020 129.226 -59.5253 -566.667 388.459 -955.126 -955.126
22500 85020 132.593 -66.0848 -570.057 387.688 -957.745 -957.745
25000 95020 129.357 -59.0365 -566.125 387.949 -954.074 -954.074
