# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
0 100000 129.357 -94.3549 0.9999 40.4807 40.4807 40.4807 -570.322 385.203 -955.524 -955.524
25 100100 130.373 -41.8242 1.01035 40.3406 40.3406 40.3406 -569.64 388.228 -957.868 -957.868
50 100200 134.774 50.0401 1.03539 40.0128 40.0128 40.0128 -570.759 401.334 -972.093 -972.093
75 100300 132.233 98.0552 1.06108 39.6872 39.6872 39.6872 -598.847 393.768 -992.615 -992.615
100 100400 132.04 116.612 1.07932 39.4624 39.4624 39.4624 -617.323 393.193 -1010.52 -1010.52
125 100500 129.736 119.805 1.09002 39.3329 39.3329 39.3329 -633.482 386.333 -1019.81 -1019.81
150 100600 130.446 74.2218 1.09648 39.2554 39.2554 39.2554 -645.676 388.447 -1034.12 -1034.12
175 100700 128.757 58.1548 1.10432 39.1624 39.1624 39.1624 -659.85 383.417 -1043.27 -1043.27
200 100800 129.278 66.2478 1.11515 39.0351 39.0351 39.0351 -667.11 384.968 -1052.08 -1052.08
225 100900 129.834 73.1106 1.12791 38.8874 38.8874 38.8874 -676.805 386.624 -1063.43 -1063.43
250 101000 126.67 62.4743 1.14211 38.7256 38.7256 38.7256 -700.971 377.203 -1078.17 -1078.17
275 101100 131.572 68.4356 1.15791 38.5486 38.5486 38.5486 -703.931 391.8 -1095.73 -1095.73
300 101200 130.769 111.581 1.17372 38.3747 38.3747 38.3747 -715.978 389.406 -1105.38 -1105.38
325 101300 126.986 144.416 1.1853 38.2494 38.2494 38.2494 -733.146 378.143 -1111.29 -1111.29
350 101400 129.036 151.835 1.19016 38.1972 38.1972 38.1972 -731.179 384.247 -1115.43 -1115.43
375 101500 129.448 153.434 1.18848 38.2152 38.2152 38.2152 -725.338 385.475 -1110.81 -1110.81
400 101600 129.939 113.838 1.18222 38.2826 38.2826 38.2826 -723.073 386.936 -1110.01 -1110.01
425 101700 129.69 79.7555 1.17581 38.352 38.352 38.352 -723.252 386.193 -1109.44 -1109.44
450 101800 131.169 49.576 1.17225 38.3908 38.3908 38.3908 -721.399 390.599 -1112 -1112
475 101900 130.236 56.4271 1.17397 38.372 38.372 38.372 -725.963 387.82 -1113.78 -1113.78
500 102000 122.169 73.3276 1.18004 38.3061 38.3061 38.3061 -752.369 363.798 -1116.17 -1116.17
525 102100 126.488 91.2425 1.18816 38.2186 38.2186 38.2186 -749.286 376.658 -1125.94 -1125.94
550 102200 130.345 169.556 1.19561 38.1391 38.1391 38.1391 -733.212 388.146 -1121.36 -1121.36
575 102300 131.978 157.311 1.19576 38.1375 38.1375 38.1375 -729.768 393.008 -1122.78 -1122.78
600 102400 130.094 94.1396 1.19002 38.1988 38.1988 38.1988 -735.544 387.397 -1122.94 -1122.94
625 102500 127.845 44.2681 1.18552 38.247 38.247 38.247 -742.58 380.702 -1123.28 -1123.28
650 102600 126.741 63.173 1.18663 38.235 38.235 38.235 -743.425 377.412 -1120.84 -1120.84
675 102700 132.366 126.133 1.19111 38.187 38.187 38.187 -724.998 394.163 -1119.16 -1119.16
700 102800 134.457 142.556 1.19296 38.1673 38.1673 38.1673 -719.61 400.389 -1120 -1120
725 102900 130.831 64.5019 1.19124 38.1857 38.1857 38.1857 -741.072 389.594 -1130.67 -1130.67
750 103000 126.639 66.0168 1.19246 38.1726 38.1726 38.1726 -752.155 377.11 -1129.26 -1129.26
775 103100 129.414 111.852 1.1969 38.1254 38.1254 38.1254 -743.49 385.374 -1128.86 -1128.86
800 103200 132.062 158.718 1.19958 38.097 38.097 38.097 -731.661 393.258 -1124.92 -1124.92
825 103300 132.759 118.624 1.19646 38.13 38.13 38.13 -730.887 395.334 -1126.22 -1126.22
850 103400 126.16 15.4163 1.19216 38.1759 38.1759 38.1759 -758.931 375.683 -1134.61 -1134.61
875 103500 125.286 24.557 1.19622 38.1326 38.1326 38.1326 -762.796 373.081 -1135.88 -1135.88
900 103600 133.181 95.3496 1.20767 38.0117 38.0117 38.0117 -743.012 396.589 -1139.6 -1139.6
925 103700 134.75 148.612 1.21926 37.8908 37.8908 37.8908 -744.503 401.262 -1145.77 -1145.77
950 103800 128.499 187.255 1.22497 37.8319 37.8319 37.8319 -760.539 382.647 -1143.19 -1143.19
975 103900 129.401 137.781 1.22156 37.8671 37.8671 37.8671 -761.368 385.335 -1146.7 -1146.7
1000 104000 129.608 93.8844 1.21422 37.9433 37.9433 37.9433 -758.207 385.952 -1144.16 -1144.16
1025 104100 131.229 84.1956 1.20797 38.0085 38.0085 38.0085 -748.745 390.777 -1139.52 -1139.52
1050 104200 136.993 104.897 1.20379 38.0525 38.0525 38.0525 -728.127 407.943 -1136.07 -1136.07
1075 104300 129.708 125.01 1.19914 38.1017 38.1017 38.1017 -739.605 386.248 -1125.85 -1125.85
1100 104400 123.483 88.354 1.19269 38.1702 38.1702 38.1702 -754.681 367.712 -1122.39 -1122.39
1125 104500 129.962 49.4472 1.18812 38.2191 38.2191 38.2191 -737.647 387.004 -1124.65 -1124.65
1150 104600 134.547 19.4711 1.1894 38.2054 38.2054 38.2054 -731.556 400.657 -1132.21 -1132.21
1175 104700 130.105 70.5592 1.19847 38.1088 38.1088 38.1088 -745.255 387.431 -1132.69 -1132.69
1200 104800 128.451 121.165 1.21002 37.9871 37.9871 37.9871 -755.72 382.505 -1138.23 -1138.23
1225 104900 130.955 124.37 1.21878 37.8959 37.8959 37.8959 -760.238 389.962 -1150.2 -1150.2
1250 105000 125.91 146.157 1.22352 37.8468 37.8468 37.8468 -774.347 374.937 -1149.28 -1149.28
