# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
0 0 130 38124.3 9737.55 387.118 9350.44 9350.44
25 100 941.345 6030.88 2793.13 2803.16 -10.0302 -10.0302
50 200 337.104 2162.88 382.14 1003.84 -621.7 -621.7
75 300 178.643 857.938 -293.855 531.967 -825.822 -825.822
100 400 121.333 248.827 -558.984 361.309 -920.293 -920.293
125 500 105.062 -14.9811 -644.28 312.857 -957.136 -957.136
150 600 122.598 -116.727 -610.803 365.077 -975.88 -975.88
175 700 144.993 -67.5546 -535.485 431.765 -967.251 -967.251
200 800 139.005 -27.5772 -539.51 413.932 -953.442 -953.442
225 900 121.725 -51.9479 -588.138 362.475 -950.613 -950.613
250 1000 124.044 -120.705 -597.027 369.381 -966.409 -966.409
275 1100 128.547 -70.0212 -571.421 382.792 -954.213 -954.213
300 1200 138.171 -48.7918 -540.8 411.451 -952.251 -952.251
325 1300 135.762 -73.1303 -552.832 404.277 -957.11 -957.11
350 1400 122.598 -90.6951 -592.157 365.077 -957.234 -957.234
375 1500 121.792 -84.6829 -594.278 362.676 -956.954 -956.954
400 1600 133.631 -44.3722 -554.799 397.932 -952.731 -952.731
425 1700 139.281 -12.4601 -533.936 414.756 -948.692 -948.692
450 1800 128.144 -5.38611 -560.29 381.592 -941.883 -941.883
475 1900 126.606 -76.7389 -580.021 377.01 -957.031 -957.031
500 2000 127.71 -97.2772 -580.351 380.299 -960.651 -960.651
525 2100 131.41 -94.5953 -569.272 391.317 -960.589 -960.589
550 2200 132.392 -81.709 -563.884 394.24 -958.124 -958.124
575 2300 128.795 -64.5076 -570.33 383.529 -953.859 -953.859
600 2400 125.905 -30.6446 -570.122 374.922 -945.045 -945.045
625 2500 132.239 -22.6529 -550.691 393.785 -944.476 -944.476
650 2600 138.432 -71.2445 -544.867 412.227 -957.094 -957.094
675 2700 126.904 -92.3332 -579.31 377.9 -957.21 -957.21
700 2800 121.494 -105.594 -596.881 361.79 -958.671 -958.671
725 2900 129.91 -97.5131 -573.647 386.851 -960.498 -960.498
750 3000 137.92 -80.3934 -549.141 410.703 -959.844 -959.844
775 3100 133.321 -100.93 -566.094 397.007 -963.101 -963.101
800 3200 121.865 -100.76 -596.57 362.892 -959.462 -959.462
825 3300 125.132 -89.6368 -588.143 372.622 -960.765 -960.765
850 3400 136.335 -59.7223 -554.767 405.981 -960.748 -960.748
875 3500 134.56 -23.0729 -552.39 400.695 -953.085 -953.085
900 3600 126.813 -30.2058 -574.034 377.627 -951.661 -951.661
925 3700 128.354 -85.3779 -581.746 382.216 -963.962 -963.962
950 3800 129.232 -88.0531 -578.612 384.832 -963.444 -963.444
975 3900 128.524 -42.8411 -570.804 382.724 -953.528 -953.528
1000 4000 134.035 -36.9061 -558.89 399.133 -958.024 -958.024
1025 4100 130.436 -9.80028 -563.753 388.417 -952.171 -952.171
1050 4200 124.869 27.5101 -569.409 371.84 -941.249 -941.249
1075 4300 132.026 18.2046 -552.908 393.152 -946.061 -946.061
1100 4400 134.612 11.6278 -545.169 400.852 -946.022 -946.022
